"month","country","date","F_Vero","B_Vero","VE","FW_BW_P","travel_route","GR_NCM_log_diff","new_cases_month","total_case","NPI_NV","shannon_strategy1","richness_strategy1","evenness_strategy1","redefine_shannon_strategy1","richness_redefine_strategy1","evenness_redefine_strategy1","simpson_strategy1","shannon_strategy2","richness_strategy2","evenness_strategy2","shannon_strategy3","richness_strategy3","evenness_strategy3","month1","year"
"2020-05","Spain","2020-05-01",0,0,NA,0,NA,-1.57450719666742,26416,249885,78.5838709677419,1.08137533788628,8.82,0.497090323684186,1.08137533788628,8.82,0.497090323684186,0.496183425160698,1.08189333006659,9,0.492390874026275,0.587331894293761,2.22448979591837,0.827222278517375,5,2020
"2020-06","Spain","2020-06-01",0,0,NA,0,NA,-0.992404161407801,9792,259677,54.1673333333333,1.72542628303363,7.99,0.832833057291596,1.72542628303363,7.99,0.832833057291596,0.782723865056227,1.77654443114399,9,0.808540214536359,0.785940463996071,2.50515463917526,0.954939850228857,6,2020
"2020-07","Spain","2020-07-01",0,0,NA,0,NA,1.3884111958409,39251,298928,59.4803225806452,1.7157688178771,16,0.618832791215801,1.7157688178771,16,0.618832791215801,0.70178324099723,1.7157688178771,16,0.618832791215801,0.977216511370977,3.14,0.905259362584178,7,2020
"2020-08","Spain","2020-08-01",0,0,NA,0,NA,1.49100755003606,174336,473264,62.7983870967742,0.888507249443121,20,0.296591006241369,0.888507249443121,20,0.296591006241369,0.319335210968222,0.864951217660799,14.65,0.323100592996554,0.587923659113862,3.14,0.559621985571205,8,2020
"2020-09","Spain","2020-09-01",0,0,NA,0,NA,0.563678480588619,306330,779594,61.02,1.26604769274587,30,0.372235877744664,1.26604769274587,30,0.372235877744664,0.427321608701373,1.19182585244015,19.41,0.402264165564086,0.900763989931331,6.02,0.503753228589531,9,2020
"2020-10","Spain","2020-10-01",0,0,NA,0,NA,0.307199499479264,416490,1196084,64.6661290322581,0.993571863588399,23,0.316878869857513,0.993571863588399,23,0.316878869857513,0.360899712497886,0.950805453651825,13.73,0.364280126947295,0.716331807565945,4.48,0.487012727418808,10,2020
"2020-11","Spain","2020-11-01",0,0,NA,0,NA,0.104803564507787,462509,1658593,71.3,0.92341455395126,30,0.27149690251143,0.92341455395126,30,0.27149690251143,0.297574889706308,0.881150026372052,18.23,0.303726333625365,0.568140496939986,3.61,0.462325937234034,11,2020
"2020-12","Spain","2020-12-01",0,0,NA,0,NA,-0.501597880418602,280078,1938671,73.4483870967742,1.39312858932192,51.67,0.35319398545867,1.39312858932192,51.67,0.35319398545867,0.467014612244898,1.2940879669969,21.55,0.422186802937443,1.1629303981503,10.77,0.489911429506717,12,2020
"2021-01","Spain","2021-01-01",0.253636363636364,0,NA,0.236871,NA,1.06794082028488,814854,2753525,72.7322580645161,1.60939411714616,78,0.369405939475889,1.60939411714616,78,0.369405939475889,0.630099171031887,1.48993667756043,21.08,0.489731385535839,1.44760315304895,16.41,0.519784821638156,1,2021
"2021-02","Spain","2021-02-01",2.065,0,NA,1.91073225945682,NA,-0.603959868301191,445434,3198959,70.3071428571428,1.66284318133466,57.02,0.411388205892965,1.66219021066914,56.39,0.412364010595441,0.664819050357403,1.56941275079675,21.12,0.51565146696415,1.55235288502811,17.08,0.548277152627062,2,2021
